x_m,z_m,half_breadth_m
0.1575,0.305168314528,0
0.1575,0.309627725605,0
0.1575,0.31402555878,0
0.1575,0.318359164964,0
0.1575,0.322625933754,0
0.1575,0.326823295009,0
0.1575,0.330948720395,0
0.1575,0.33499972491,0
0.1575,0.338973868381,0
0.1575,0.342868756931,0
0.1575,0.346682044427,0
0.1575,0.350411433885,0
0.1575,0.354054678862,0
0.1575,0.357609584802,0
0.1575,0.361074010363,0
0.1575,0.364445868705,0
0.1575,0.367723128747,0
0.1575,0.370903816389,0
0.1575,0.373986015705,0
0.1575,0.376967870092,0
0.1575,0.379847583394,0
0.1575,0.382623420977,0
0.1575,0.385293710783,0
0.1575,0.387856844327,0
0.1575,0.390311277674,0
0.1575,0.392655532366,0
0.1575,0.394888196311,0
0.1575,0.397007924635,0
0.1575,0.399013440494,0
0.1575,0.400903535839,0
0.1575,0.402677072149,0
0.1575,0.404332981111,0
0.1575,0.405870265267,0
0.1575,0.407287998615,0
0.1575,0.408585327165,0
0.1575,0.409761469456,0
0.1575,0.410815717022,0
0.1575,0.411747434826,0
0.1575,0.412556061634,0
0.1575,0.41324111036,0
0.1575,0.413802168357,0
0.1575,0.414238897663,0
0.1575,0.414551035211,0
0.1575,0.414738392979,0
0.1575,0.414800858111,0
0.21,0,0.43851451188
0.21,6.24651316307e-05,0.438514460589
0.21,0.000249822899863,0.438513776465
0.21,0.000561960447384,0.438511021243
0.21,0.000998689754205,0.438503976387
0.21,0.00155974775092,0.438489701696
0.21,0.00224479647718,0.438464576853
0.21,0.00305342328524,0.438424335694
0.21,0.00398514108855,0.438364096756
0.21,0.00503938865514,0.438278391743
0.21,0.0062155309457,0.438161192795
0.21,0.0075128594961,0.438005939044
0.21,0.00893059284412,0.437805562726
0.21,0.0104678770002,0.437552514993
0.21,0.0121237859619,0.437238791484
0.21,0.0138973222715,0.436855957659
0.21,0.0157874176171,0.436395173871
0.21,0.0177929334759,0.435847220112
0.21,0.0199126618001,0.435202520369
0.21,0.0221453257447,0.434451166481
0.21,0.0244895804365,0.433582941422
0.21,0.0269440137839,0.43258734188
0.21,0.0295071473283,0.431453600027
0.21,0.0321774371336,0.430170704356
0.21,0.0349532747173,0.428727419441
0.21,0.0378329880186,0.427112304499
0.21,0.0408148424058,0.425313730586
0.21,0.0438970417214,0.423319896267
0.21,0.0470777293637,0.421118841588
0.21,0.0503549894054,0.418698460144
0.21,0.0537268477477,0.416046509013
0.21,0.0571912733091,0.413150616321
0.21,0.0607461792493,0.409998286134
0.21,0.0643894242258,0.406576900338
0.21,0.0681188136841,0.40287371713
0.21,0.0719321011795,0.398875865634
0.21,0.07582698973,0.394570336107
0.21,0.0798011332006,0.389943965063
0.21,0.0838521377157,0.384983414498
0.21,0.0879775631017,0.379675144257
0.21,0.0921749243567,0.374005376315
0.21,0.0964416931472,0.367960049479
0.21,0.100775299331,0.361524762632
0.21,0.105173132506,0.354684704167
0.21,0.109632543582,0.347424564565
0.21,0.114150846377,0.33972842828
0.21,0.118725319233,0.33157963985
0.21,0.12335320666,0.322960637616
0.21,0.128031720991,0.31385274621
0.21,0.132758044063,0.304235915838
0.21,0.137529328917,0.294088391961
0.21,0.14234270151,0.283386292455
0.21,0.147195262445,0.272103059626
